"","b","hub","c"
"Solyc05g006020",0.00401269795514248,223,2
"Solyc02g050200",0.00108066999630486,112,2
"Solyc06g062330",0,9,3
"Solyc07g007750",0.0222006615153987,14,1
"Solyc06g084430",0.000887377831703477,72,1
"Solyc03g114690",0.00467259494556403,149,1
"Solyc08g065420",0.0141893789538617,157,2
"Solyc07g066350",0.00258942332174418,193,5
"Solyc06g082910",0.00647237245220171,199,5
"Solyc09g089610",0.00107309723631763,174,5
"Solyc04g081080",0.00274228298624531,179,5
"Solyc06g072290",0.00395300968218357,31,2
"Solyc02g093930",0.00305361533746757,13,2
"Solyc09g065590",0.00249535934151526,216,2
"Solyc06g068910",0.00285075531699279,126,5
"Solyc01g014290",0.0119399946603617,34,4
"Solyc03g120870",0.0346611021114124,7,3
"Solyc04g054880",0.00252405547982962,210,2
"Solyc01g101030",0.00521197508323728,108,1
"Solyc02g072500",0.00438314214156923,211,2
"Solyc01g079520",0.00433358117975962,160,1
"Solyc10g078680",0.00306350268771466,135,1
"Solyc04g071070",0.0134565421777837,168,1
"Solyc10g083500",0.0075780600472938,181,4
"Solyc08g077940",0.00187078910389201,205,2
"Solyc06g060360",0.0034842084476073,189,2
"Solyc07g055180",0.00706136363859248,209,5
"Solyc11g072860",0.00218730828925097,186,1
"Solyc02g070000",0.00143160733875302,187,5
"Solyc07g008570",0.056371804369241,11,1
"Solyc01g111310",0.00375156847439414,193,1
"Solyc03g026040",0.000822669575727688,72,1
"Solyc11g011380",0.00490369189466625,117,1
"Solyc02g062780",0.00555856259854118,222,1
"Solyc12g019480",0.00279393909094102,191,5
"Solyc11g072430",1.09435531528377e-05,2,9
"Solyc04g007910",0.00305207246096357,195,2
"Solyc06g075830",0.000975044765213303,98,1
"Solyc09g006010",0.00914234818706761,8,4
"Solyc09g064230",0.00419946691053132,209,2
"Solyc07g005020",0.000534716984595803,64,1
"Solyc11g005150",0.00889122567163834,153,1
"Solyc12g008580",0.00317052804359113,222,2
"Solyc01g008600",0.00293204053222755,219,2
"Solyc03g115050",0.00029258476209807,59,1
"Solyc09g005010",0.00248589069803605,216,2
"Solyc02g092980",0.0155005587510892,220,2
