"","genes","sd","mean","cof","P3_m_1","P3_m_2","P3_m_3","P4_d_1","P4_d_2,","P4_d_3","P4_p_1","P4_p_2","P4_p_3","P5_d_1","P5_d_2","P5_d_3","P5_p_1","P5_p_2","P5_p_3","P6_d_1","P6_d_2","P6_d_3","P6_p_1","P6_p_2","P6_p_3"
"158","lyc_Solyc01g006560.2.1",21.1994280858091,19.3481188450598,1.09568419832308,0.618644008737608,12.537804427845,0.680653141718577,7.46339332828724,25.4043949161235,13.6070419586111,4.32785750072067,16.4219372522812,2.06166881587348,15.320258950422,15.1908839680332,27.7590792055365,9.31715630591763,8.1185693872336,8.42203748773378,39.0747092775114,60.7304138276378,87.9979236042687,9.48244053623675,12.7645630604216,29.0090647851051
"8450","lyc_Solyc06g083650.2.1",6.472550415942,5.90860079073683,1.09544554543087,1.23728801747522,5.015121771138,0,11.5343351437166,6.35109872903087,3.40176048965278,7.21309583453445,5.68451674117425,1.37444587724899,12.9632960349724,2.64189286400577,4.89866103627115,30.2807579942323,4.0592846936168,2.80734582924459,8.37315198803816,2.42921655310551,1.97010276725975,5.92652533514797,3.35909554221621,2.55962336339163
"34180","hab_Solyc04g009050.2.1",43.9938910362582,40.2128748727008,1.0940250150114,4.91748063363017,18.4136030990604,42.1679704858668,2.76861534419349,10.2202089273314,93.5632663882527,3.81294125554087,10.6286797210309,53.995587211727,6.46884703790151,36.1109902452236,142.161682341086,4.37652384648021,13.3828542012002,70.4453150107161,14.754357867365,37.437602634958,134.560990447264,14.1617589124498,23.1774047983759,106.943691917063
"24250","pen_Solyc08g016210.2.1",20.9580449792389,19.1590775416076,1.09389634932707,2.24232336354856,1.55688858916277,0,1.68867111661118,7.58249538796935,3.61963053668764,1.78234973965571,4.11815184126592,1.96610333725465,16.990408617708,44.4794348598857,19.9147533770408,4.67432255696572,15.1230468039443,14.925317425938,57.6248423928715,65.033854858943,44.8479980043656,20.1151369148172,53.50932476982,20.5455738793037
"21148","pen_Solyc05g013530.2.1",30.5849856457928,27.9679020096308,1.09357454253311,3.73720560591426,3.11377717832553,2.58373843337149,5.91034890813911,9.74892264167488,5.0674827513627,1.18823315977047,4.9417822095191,3.27683889542441,28.3173476961801,59.3059131465143,46.4677578797618,7.47891609114515,14.1148436836813,18.4789644321137,65.8569627347103,73.6412768255679,103.85852169432,26.4011172006976,76.4418925283143,27.3940985057382
"43563","hab_Solyc03g098720.2.1",7.13958788857953,6.52935548958548,1.09345982156545,0,0.969137005213706,3.06676148988122,2.07646150814511,5.50318942240924,7.7165580526394,0,0.817590747771606,4.04966904087953,2.42581763921307,5.74493026628557,19.8036174405493,0,3.52180373715796,8.88499468603626,3.10618060365578,14.778001040115,25.9394680380268,3.96529249548596,7.47658219302447,17.2704098748051
"24770","pen_Solyc08g078470.2.1",8.92942345067318,8.17189771579414,1.09269887622491,31.3925270896798,21.0179959536973,25.191449725372,14.353704491195,1.08321362685276,5.0674827513627,13.0705647574752,6.58904294602546,12.4519878026128,1.1326939078472,0,2.21275037522675,13.088103159504,3.02460936078885,8.52875281482171,0,3.82552087405547,1.18021047379909,7.54317634305646,0,0.85606557830432
"28926","pen_Solyc10g051020.1.1",13.6118996976926,12.4732309182203,1.09128900017469,0.747441121182852,0.778444294581383,0,4.22167779152794,7.58249538796935,4.34355664402517,2.37646631954094,1.64726073650637,0,19.2557964334024,16.1743399490494,15.4892526265873,4.67432255696572,10.0820312026295,6.39656461111628,42.3366189008852,47.8190109256934,22.4239990021828,11.3147645145847,30.5767570113257,13.6970492528691
"19958","pen_Solyc04g025040.1.1",53.603166518839,49.1453921359144,1.09070584624895,4.48464672709711,3.11377717832553,0,12.6650333745838,19.4978452833498,13.0306699320755,4.75293263908188,7.41267331427865,7.2090455699337,95.146288259165,56.6101898216728,38.7231315664682,26.176206319008,29.2378904876256,21.3218820370543,137.594011427877,167.366538239927,102.678311220521,82.974939773621,159.253942767321,42.803278915216
"31175","hab_Solyc02g063150.2.1",2578.82188074727,2365.54499077382,1.09015972674596,291.77051759539,182.197756980177,197.806116097339,1464.59751707835,1219.34954202239,1264.55095087628,409.891184970644,262.446630034685,326.673302630948,3842.4951405135,3649.67212773885,2915.37539606944,637.722046201403,559.966794208116,621.314985544965,6839.03314409911,5655.04839801734,9938.86930044521,3393.72390577948,2897.92325801629,3106.01679133034
"14664","lyc_Solyc04g008210.1.1",8.49488537103853,7.7926454714144,1.09011572542343,1.23728801747522,20.060487084552,2.04195942515573,4.0709418154294,3.81065923741852,4.08211258758334,7.9344054179879,12.6322594248317,2.06166881587348,1.76772218658715,3.96283929600865,9.79732207254231,2.79514689177529,1.73969344012148,2.80734582924459,18.9791445062198,26.7213820841606,28.2381396640564,4.14856773460358,1.34363821688649,3.41283115118883
"15490","pen_Solyc01g087850.2.1",14.2153607872026,13.0459391789301,1.08963874445783,3.73720560591426,6.22755435665106,7.75121530011448,5.91034890813911,8.66570901482211,5.0674827513627,5.94116579885236,8.23630368253183,4.58757445359418,9.06155126277762,10.7828932993662,16.5956278142006,6.54405157975201,3.02460936078885,13.5038586234677,15.2882234919863,41.1243493960963,63.731365585151,8.80037240023253,19.1104731320786,10.2727869396518
"15593","pen_Solyc01g091000.2.1",7.06932653323876,6.49220260090027,1.08889493563532,23.9181158778513,21.7964402482787,16.1483652085718,2.53300667491676,6.49928176111659,3.61963053668764,12.4764481775899,9.8835644190382,11.141252244443,2.26538781569441,2.69572332484156,1.10637518761338,7.47891609114515,1.00820312026295,1.42145880247029,1.17601719169126,1.91276043702774,0,7.54317634305646,0,1.71213115660864
"14634","lyc_Solyc08g081400.2.1",7.16891396584503,6.58440667944859,1.08877144363224,1.23728801747522,5.85097539966101,2.04195942515573,6.10641272314411,4.44576911032161,3.40176048965278,5.04916708417412,4.42129079869108,0,7.66012947521099,3.30236608000721,6.53154804836154,2.79514689177529,1.15979562674766,0.935781943081532,23.4448255665069,22.6726878289848,22.984532284697,3.55591520108878,4.7027337591027,5.97245451458046
"37806","hab_Solyc07g021630.2.1",16.0825079106702,14.7731774707886,1.08862889804652,0.546386737070019,2.90741101564112,19.9339496842279,0.692153836048371,5.50318942240924,35.6890809934572,0.953235313885218,2.45277224331482,31.7224074868896,4.85163527842614,4.92422594253049,38.8999628296505,3.12608846177158,3.52180373715796,37.4439061768671,8.5419966600534,4.926000346705,45.3940690665469,9.62999606046589,6.72892397372202,41.8475316197201
"38657","hab_Solyc08g006540.2.1",20.9959833926495,19.2905373962088,1.08840842333277,10.3813480043304,3.87654802085482,6.13352297976244,20.0724612454028,10.2202089273314,5.78741853947955,8.57911782496696,12.2638612165741,3.37472420073294,22.6409646326553,24.6211297126525,17.6818012862048,12.5043538470863,6.33924672688433,6.34642477574019,69.1125184313411,86.697606102008,30.8031182951568,19.2599921209318,16.4484808246538,11.9564376056343
