"","genes","logFC.groupP4d","logFC.groupP4p","logFC.groupP5d","logFC.groupP5p","logFC.groupP6d","logFC.groupP6p","logCPM","F","PValue","FDR"
"17035","Solyc10g079640.1.1",-0.275857156750617,0.685113103118987,0.151866812375964,0.535175244180973,0.0192311377481732,0.395563532352195,4.31200552361222,0.844220900426921,0.550567932108082,0.851021578362246
"3788","Solyc02g079080.1.1",0.117467925965656,0.35708316557438,-1.36898072808351,0.380053901754426,-0.73968321205056,-0.413703925623975,1.58980485118135,0.844208424523332,0.550576379305654,0.851021578362246
"8681","Solyc04g082430.2.1",-0.0375210091934733,0.0202912742682418,-0.123651466920387,0.138593110941847,-0.451605229083694,-0.18710386087537,7.15484397989469,2.22068966080739,0.550706985292361,0.851149306623899
"19088","Solyc12g009390.1.1",0.373435235903999,-0.0322623026305351,0.241021593768201,0.321068049508864,-0.332427274959403,-0.0098499823093903,4.14659290825158,1.99336089094392,0.550850950677699,0.851297658555388
"10529","Solyc06g050620.2.1",0.0906081905999421,0.160156696266354,0.326615522176279,-0.0159290901755396,0.532885380113301,0.253920119718496,5.30548338565281,2.00047148249977,0.55107827283718,0.851574794892012
"4670","Solyc02g091450.2.1",-0.520750921544846,-0.303727834592997,-0.815890372030121,-1.19945431316402,-1.57610515944473,-0.690437620018544,2.48563009681988,0.843372551609347,0.551142510600337,0.851576033578381
"11176","Solyc06g069530.2.1",0.407280348697657,-0.0153299453681585,0.636003380065543,0.205120442649582,0.247049936831894,0.329633404597179,5.11137623657385,0.84332450260364,0.551175064510744,0.851576033578381
"10239","Solyc06g008500.2.1",-0.137473561781221,-0.402906859854488,0.0809335417057814,-0.244270610035145,0.299751188992925,-0.248416209301738,4.67279263162349,0.84317169085462,0.551278604403088,0.851580747230636
"8157","Solyc04g074660.1.1",0.137413404303985,0.373741682205402,0.791085559538364,0.7844651394415,0.605463405539271,0.364422008243228,3.23552357238731,1.33503241020813,0.551351553361181,0.851580747230636
"12813","Solyc07g055170.1.1",0.534968685265553,0.573904443396782,-0.833506169761538,-1.56134777660866,-0.343716312787758,0.233837754897208,1.60369127048874,0.843061528364116,0.551353253895309,0.851580747230636
"13010","Solyc07g063220.2.1",-0.977524610565878,-0.224101617837269,-0.416235400121231,-0.378904933103521,-0.738716654481112,-0.27286323911024,3.146696180274,0.928567731276626,0.551370096611934,0.851580747230636
"11953","Solyc07g006730.2.1",0.61711802305174,0.63674876541786,1.71128279578378,0.717698340910767,1.62700947770038,1.64037148069553,1.49003686669884,0.842796495738151,0.551532873013157,0.851651418560639
"12152","Solyc07g017220.2.1",-0.0133855898284696,0.0922093289925427,-0.19202635372059,-0.0518772292476511,0.682831549446107,0.0675516008260536,3.45795245522667,0.842698409988266,0.551599357034719,0.851651418560639
"719","Solyc01g056990.2.1",-0.559738295769025,0.398197112050479,-0.135889916115185,-0.20235664277378,0.185964168049717,0.0882025472776136,3.52183680168374,0.842627410225106,0.551647484759323,0.851651418560639
"985","Solyc01g074000.2.1",-0.0904983153317064,0.0153013935447821,-0.721132479070668,-0.693772718182964,-0.550067637782161,-0.460925060277588,7.01494902302078,0.842570416310266,0.551686120336219,0.851651418560639
"14701","Solyc08g083250.2.1",-0.112551828296792,0.00608766694681977,0.287352456680301,-0.0198547703652152,0.517907492567656,0.189324616630734,4.82838200294297,0.842529421976845,0.551713910967993,0.851651418560639
"18763","Solyc11g072190.1.1",0.253725135051735,0.105458248531194,-0.0571986578911527,-0.176242670178573,-0.187990412562678,0.278339926406341,8.59132324834828,1.72810321251097,0.551748414568589,0.851651418560639
"14722","Solyc09g005130.2.1",-0.0526550832498223,-0.30105085450213,-0.500418511606336,-0.180289087517104,-0.369694094832573,-0.438754161762248,5.569806783313,1.96301479744011,0.551819429501349,0.851651418560639
"1217","Solyc01g087090.2.1",-1.58030287671698,-0.182991887367903,-0.391872675567943,-0.370237260227942,-0.111432180691951,-0.635561356847649,2.09162746538192,1.02465016444044,0.551860259067789,0.851651418560639
"9700","Solyc05g051380.2.1",-0.593363939829529,-1.50146702635021,-0.61543584295682,-1.18702039225684,-0.236119228565944,0.0239403753863222,2.19526581833842,0.842310944533334,0.551862034036664,0.851651418560639
"16235","Solyc10g006390.2.1",-0.182634181047457,0.0148607114612227,-0.343415675262074,-0.38171080624799,-0.429901215323392,-0.368624246371476,5.98209280492442,1.88103093050424,0.55189584684722,0.851651418560639
"17114","Solyc10g080720.1.1",0.459056975316873,0.140230614873109,0.177623989113637,-0.0767061471958468,-0.175108073973331,0.0610842305601791,4.9627294002876,1.97981074071295,0.551977610389692,0.851703516927063
"6101","Solyc03g098460.2.1",-0.0776009305939694,-0.0466930605290729,-0.48589411510911,-0.224151013012186,-0.402815406420291,-0.0368980595971814,5.83382402826655,1.54535316471939,0.552270907448572,0.851903589335405
"1756","Solyc01g097140.2.1",-0.063448915057208,0.22049544455375,0.278433755518058,-0.0280513808544393,0.523903327333946,0.452443628014152,4.19214079283199,1.76084809399301,0.552290330648864,0.851903589335405
"6833","Solyc03g120170.1.1",-1.84907131969094,-0.645418055271387,0.238571732397932,-0.713307851628558,0.0804406773369736,-0.701933199555749,1.72819856437856,0.841599786923401,0.55234434876739,0.851903589335405
"14779","Solyc09g007040.1.1",0.918864663379703,0.923953934017161,1.01612154583833,0.773473742124613,-0.498975730222989,0.0748283350421307,1.81993448908306,0.841577206499406,0.552359667184983,0.851903589335405
"5926","Solyc03g095610.2.1",0.215730769608683,-0.247854896447412,-0.0853836425904466,0.0927358996924067,-0.394170876657255,-0.577085699311122,3.54028736926172,0.863357113575548,0.552365413643505,0.851903589335405
