"","genes","pen$tagwise.dispersion"
"11185","Solyc06g069730.2.1",0.7474152198364
"16273","Solyc10g006900.2.1",0.303544552304662
"18876","Solyc12g005330.1.1",0.10455173447924
"15807","Solyc09g082830.2.1",0.37028084621593
"16052","Solyc09g092390.2.1",0.0887039002345821
"1941","Solyc01g099670.2.1",0.176088145791379
"11296","Solyc06g072300.2.1",0.118894969153538
"12619","Solyc07g051850.2.1",0.306645732018252
"18555","Solyc11g068420.1.1",0.12909118847785
"19237","Solyc12g013710.1.1",0.548319065078429
"16585","Solyc10g044520.1.1",0.667087722779091
"8987","Solyc05g008460.2.1",0.0854869139612478
"14553","Solyc08g081250.2.1",0.0791253196080725
"9125","Solyc05g010670.2.1",0.138612154762309
"19854","Solyc12g088670.1.1",0.336980004149704
"18221","Solyc11g042930.1.1",0.0471091690425378
"18935","Solyc12g006320.1.1",0.112469040947962
"9694","Solyc05g051290.2.1",0.335965081769445
"3989","Solyc02g082000.2.1",0.128691603150726
"15357","Solyc09g057650.2.1",0.0893748713173452
"3680","Solyc02g077710.1.1",0.201942224084471
"3437","Solyc02g069850.2.1",0.188023432595284
"7933","Solyc04g063290.2.1",0.168220277228219
"10398","Solyc06g035460.2.1",0.0537362500963028
"11683","Solyc06g082930.2.1",0.0909461493334586
"13176","Solyc07g065490.2.1",0.155842364097852
"18191","Solyc11g040120.1.1",0.442774226824015
"542","Solyc01g010580.2.1",0.124544829881642
"18110","Solyc11g020960.1.1",1.00306632804686
"337","Solyc01g007320.2.1",0.744167251418614
"17128","Solyc10g080940.1.1",0.0941313502154755
"10573","Solyc06g051400.2.1",0.460770224003225
"14876","Solyc09g008280.1.1",0.127719488316955
"13263","Solyc07g066600.2.1",0.0698303646247165
"10975","Solyc06g065640.2.1",0.0859356294665237
"11082","Solyc06g068230.2.1",0.203424773807796
"13253","Solyc07g066470.2.1",0.219329097543994
"2703","Solyc01g111240.2.1",0.0810265647274881
"10507","Solyc06g050170.2.1",0.0790040912957286
"1961","Solyc01g099900.2.1",0.15540562057643
"3988","Solyc02g081980.2.1",0.54270363739064
"12353","Solyc07g041310.2.1",0.178984351249091
"2855","Solyc02g020940.2.1",0.684139952867081
"12585","Solyc07g049290.2.1",0.429927111262105
"3704","Solyc02g078040.2.1",1.15912755781916
"909","Solyc01g067890.2.1",0.241808022473793
"2504","Solyc01g108500.2.1",0.13943461625342
"15120","Solyc09g011810.2.1",0.611369463133565
"10971","Solyc06g065590.2.1",0.182187005857026
"8260","Solyc04g076880.2.1",0.358571469235731
"20003","Solyc12g096700.1.1",0.107798304791819
"20144","Solyc12g099970.1.1",0.283749823805409
"12759","Solyc07g054210.2.1",0.253266059002309
"18655","Solyc11g069700.1.1",0.155779119191453
"7184","Solyc04g007550.2.1",0.0853846400778774
"12367","Solyc07g041720.1.1",0.41665049104759
"6867","Solyc03g120640.2.1",0.581623996299664
