"","genes","bcv"
"31150","pen_Solyc07g005370.2.1",1.52021708657592
"10613","lyc_Solyc02g087830.2.1",1.513892063
"25390","pen_Solyc03g082430.1.1",1.51198234880825
"30394","pen_Solyc05g009760.1.1",1.51169224229923
"33402","pen_Solyc01g010060.2.1",1.51081292326907
"15511","lyc_Solyc12g006380.1.1",1.510582526
"28368","pen_Solyc09g092130.2.1",1.50962987510961
"32354","pen_Solyc02g071380.2.1",1.50594663801446
"33919","pen_Solyc01g048590.1.1",1.50229103420078
"48031","hab_Solyc10g078250.1.1",1.500724306
"8767","lyc_Solyc06g036250.1.1",1.499243558
"41421","hab_Solyc08g074650.2.1",1.497716405
"4429","lyc_Solyc03g079970.1.1",1.496671948
"32017","pen_Solyc06g071830.2.1",1.49505219693756
"34771","pen_Solyc01g106820.2.1",1.49483113991463
"26162","pen_Solyc02g085400.2.1",1.49411607514233
"12328","lyc_Solyc11g073150.1.1",1.490112682
"50399","hab_Solyc02g084930.2.1",1.489679265
"47190","hab_Solyc08g006770.2.1",1.488562122
"48504","hab_Solyc07g006620.2.1",1.485285029
"49608","hab_Solyc11g012930.1.1",1.481551727
"19339","pen_Solyc01g006580.2.1",1.47844233833485
"25536","pen_Solyc03g123430.2.1",1.47779378773169
"30117","pen_Solyc03g097610.2.1",1.47394830999939
"49334","hab_Solyc09g091550.2.1",1.464873847
"28793","pen_Solyc06g054270.2.1",1.46250610828587
"13049","lyc_Solyc07g026860.2.1",1.461512203
"47419","hab_Solyc03g025720.2.1",1.453770069
"48967","hab_Solyc10g009270.2.1",1.452572365
"16459","lyc_Solyc01g110330.1.1",1.451109971
"14474","lyc_Solyc08g067230.2.1",1.450181371
"14874","lyc_Solyc12g099430.1.1",1.445534965
"21291","pen_Solyc04g071340.2.1",1.44349116310783
"13591","lyc_Solyc09g025280.1.1",1.443269859
"47470","hab_Solyc02g005510.2.1",1.442877383
"40639","hab_Solyc12g008830.1.1",1.439656412
"30029","pen_Solyc07g063410.2.1",1.43788498585042
"13195","lyc_Solyc02g081360.2.1",1.437196289
"50554","hab_Solyc01g009700.1.1",1.436906752
"45248","hab_Solyc01g066680.2.1",1.436558133
"11659","lyc_Solyc05g025630.1.1",1.436511583
"11798","lyc_Solyc07g017700.1.1",1.433156899
"47273","hab_Solyc00g071180.2.1",1.432096706
"33251","pen_Solyc01g099560.2.1",1.43091575419579
"24287","pen_Solyc08g076970.2.1",1.42628851574765
"32928","pen_Solyc05g052040.1.1",1.42537749520617
"33485","pen_Solyc11g010390.1.1",1.42440801708787
"51278","hab_Solyc11g069250.1.1",1.421143145
"30207","pen_Solyc07g064410.1.1",1.4191123675002
"24291","pen_Solyc12g005300.1.1",1.41760397484766
"34238","pen_Solyc11g045520.1.1",1.41676325743487
"33866","pen_Solyc10g047030.1.1",1.41624121756861
"25376","pen_Solyc12g100270.1.1",1.41193607671355
"34201","pen_Solyc02g071500.2.1",1.41185559746257
"30805","pen_Solyc03g112590.2.1",1.41050400602468
"8988","lyc_Solyc08g082190.2.1",1.404240935
"32889","pen_Solyc01g088760.2.1",1.40254300252326
"32060","pen_Solyc05g013640.1.1",1.4024421030166
"28067","pen_Solyc04g080780.2.1",1.40239967103127
"25535","pen_Solyc01g014290.1.1",1.40223149481605
"31289","pen_Solyc10g084940.1.1",1.40052726486448
"36695","hab_Solyc07g065900.2.1",1.399529548
"33133","pen_Solyc07g007050.1.1",1.39767741358943
"26731","pen_Solyc09g075870.1.1",1.39685621838596
"33118","pen_Solyc06g062430.2.1",1.39486773387169
"20513","pen_Solyc03g117250.2.1",1.39412749883502
"32933","pen_Solyc02g079940.2.1",1.39267135722265
"33174","pen_Solyc06g049030.2.1",1.3919678154188
"32976","pen_Solyc04g071100.1.1",1.38945695630994
"12900","lyc_Solyc08g074640.1.1",1.387373055
"19222","pen_Solyc09g064230.1.1",1.37847543397987
"20587","pen_Solyc04g071070.2.1",1.37824873137675
"14763","lyc_Solyc08g041760.1.1",1.377544081
"49629","hab_Solyc12g094440.1.1",1.37376975
