,genes,bcv
16250,Solyc10g006580.2.1,0.121485906
2975,Solyc02g036350.2.1,0.936507388
19549,Solyc12g042080.1.1,0.054528764
220,Solyc01g005620.2.1,0.045351982
19607,Solyc12g044280.1.1,0.354762822
18763,Solyc11g072190.1.1,0.051051507
17051,Solyc10g079880.1.1,0.024312472
10546,Solyc06g050980.2.1,0.055235097
11622,Solyc06g082090.2.1,0.070792234
15007,Solyc09g010100.2.1,0.058394332
14063,Solyc08g074240.2.1,0.05697491
18841,Solyc11g073250.1.1,0.183071122
17803,Solyc11g010470.1.1,0.109401621
17875,Solyc11g011470.1.1,0.026920826
12999,Solyc07g063100.2.1,0.032796642
1668,Solyc01g096070.2.1,0.044672292
18786,Solyc11g072490.1.1,0.040159901
8590,Solyc04g081240.2.1,0.204085023
11884,Solyc07g005810.2.1,0.037445091
7847,Solyc04g054740.2.1,0.229756879
11848,Solyc07g005390.2.1,0.123531617
11623,Solyc06g082100.2.1,0.133095522
15240,Solyc09g018750.2.1,0.08721787
11904,Solyc07g006030.2.1,0.268169501
19991,Solyc12g096540.1.1,0.071525
13560,Solyc08g014340.2.1,0.290606867
3458,Solyc02g070260.2.1,0.078570824
2051,Solyc01g101000.2.1,0.043332997
8898,Solyc05g007250.2.1,0.060404244
2560,Solyc01g109300.2.1,0.137709584
13134,Solyc07g064970.2.1,0.041447944
16073,Solyc09g097770.2.1,0.232793625
11200,Solyc06g070980.2.1,0.065020042
16117,Solyc09g098360.2.1,0.034074859
19973,Solyc12g096300.1.1,0.057976575
6143,Solyc03g111230.2.1,0.065003037
11480,Solyc06g074790.1.1,0.176149013
455,Solyc01g008970.2.1,0.046195501
11143,Solyc06g069090.2.1,0.042958444
9461,Solyc05g023800.2.1,0.057198296
17911,Solyc11g012140.1.1,0.038798909
16212,Solyc10g006070.2.1,0.053343269
394,Solyc01g008110.2.1,0.072145496
10802,Solyc06g061070.2.1,0.279808461
7821,Solyc04g054190.2.1,0.371803212
8312,Solyc04g077510.2.1,0.160619377
2067,Solyc01g101240.2.1,0.04728599
13226,Solyc07g066150.1.1,0.479437479
6916,Solyc03g121180.2.1,0.067964915
485,Solyc01g009420.2.1,0.070094959
16871,Solyc10g075100.1.1,0.117377865
5479,Solyc03g045050.2.1,0.057135034
8221,Solyc04g076380.2.1,0.070474072
6661,Solyc03g118040.2.1,0.055982388
15282,Solyc09g031780.2.1,0.09044136
15646,Solyc09g074520.2.1,0.082499753
1062,Solyc01g080020.2.1,0.086522688
20166,Solyc12g100330.1.1,0.077034437
15289,Solyc09g031970.2.1,0.059478789
12637,Solyc07g052350.2.1,0.052978855
6622,Solyc03g117590.2.1,0.286776613
10047,Solyc05g056310.2.1,0.041828637
18870,Solyc12g005270.1.1,0.119057268
9293,Solyc05g013990.2.1,0.084072658
12861,Solyc07g056020.2.1,0.163547055
19681,Solyc12g055800.1.1,0.039640544
14048,Solyc08g069030.2.1,0.251005658
3258,Solyc02g067460.2.1,0.122203152
16136,Solyc10g005050.2.1,0.166822084
16209,Solyc10g006030.2.1,0.490828907
10981,Solyc06g065710.2.1,0.037587471
16727,Solyc10g051110.1.1,0.204612385
17113,Solyc10g080710.1.1,0.036339806
4548,Solyc02g089620.2.1,0.058983009
16915,Solyc10g076990.1.1,0.056073122
9980,Solyc05g055440.1.1,0.112788426
11570,Solyc06g076360.2.1,0.04499909
7837,Solyc04g054480.2.1,0.080229211
14608,Solyc08g082070.2.1,0.113950551
12486,Solyc07g044840.2.1,0.029263692
2233,Solyc01g104470.2.1,0.040922889
17560,Solyc11g006230.1.1,0.088508618
11736,Solyc06g083620.2.1,0.032452262
13404,Solyc08g006930.2.1,0.350119621
9088,Solyc05g009980.2.1,0.040501139
1309,Solyc01g088370.2.1,0.053285221
992,Solyc01g079090.2.1,0.174597808
17953,Solyc11g012770.1.1,0.05826756
3973,Solyc02g081810.2.1,0.253921901
15563,Solyc09g065910.1.1,0.157394744
718,Solyc01g056940.2.1,0.139109018
